Year,East Recruits,West Recruits,Age,East NAA (1974),West NAA (1974),Quarter,1,2,3,4,5,6,7
1974,1607950,651335,1,1607950,651335,1,0.6,0,0,0,0,0.25,0.7
1975,1326699,328839,2,1001078,331639,2,0.4,0,0.2,0,0.25,0,0.1
1976,1540934,232980,3,575717,94179,3,0,0.67,0.6,0.1,0.5,0.25,0.1
1977,982181,188192,4,674797,54711,4,0,0.33,0.2,0.9,0.25,0.5,0.1
1978,835048,127450,5,320985,20071,,,,,,,,
1979,905004,179901,6,232489,11427,,,,,,,,
1980,1318696,141238,7,289610,12062,,,,,,,,
1981,1259446,126997,8,181818,17751,,,,,,,,
1982,1594895,187820,9,777480,20129,,,,,,,,
1983,2384091,178158,10,231338,24863,,,,,,,,
1984,1318454,158040,11,200112,20124,,,,,,,,
1985,1277919,184744,12,174841,18873,,,,,,,,
1986,2078900,170536,13,152761,21240,,,,,,,,
1987,1623049,177356,14,133470,14470,,,,,,,,
1988,2767855,185155,15,117787,10590,,,,,,,,
1989,2848144,193182,16,103947,8764,,,,,,,,
1990,3106243,190084,17,91733,6584,,,,,,,,
1991,3707571,142856,18,80954,4946,,,,,,,,
1992,4161186,128957,19,71441,3716,,,,,,,,
1993,4461850,107666,20,63047,2792,,,,,,,,
1994,3862071,132194,21,55639,2097,,,,,,,,
1995,4457741,168053,22,49101,1576,,,,,,,,
1996,4110447,118444,23,43331,1184,,,,,,,,
1997,3548699,97611,24,38240,889,,,,,,,,
1998,4416325,139256,25,33747,668,,,,,,,,
1999,3317738,105926,26,29781,502,,,,,,,,
2000,3295236,127754,27,26282,377,,,,,,,,
2001,3250832,152281,28,23194,283,,,,,,,,
2002,4270146,151318,29,20468,213,,,,,,,,
2003,3508318,182660,,,,,,,,,,,
2004,3867135,285980,,,,,,,,,,,
2005,3067014,154621,,,,,,,,,,,
2006,2697562,161880,,,,,,,,,,,
2007,2845146,102434,,,,,,,,,,,
2008,1696657,91677,,,,,,,,,,,
2009,1113569,161040,,,,,,,,,,,
2010,1248431,101593,,,,,,,,,,,
2011,1679033,66123,,,,,,,,,,,
2012,2837500,80213,,,,,,,,,,,
2013,5277994,125920,,,,,,,,,,,
2014,4384891,6422,,,,,,,,,,,
2015,396204,608,,,,,,,,,,,
