ID,YEAR,1,2,3,4,5,6,7,8,9,10
6,1974,3.29,9.44,19.18,32.33,48.47,67.11,87.69,109.68,132.6,156.02
6,1975,3.29,9.44,19.18,32.33,48.47,67.11,87.69,109.68,132.6,156.02
6,1976,3.29,9.44,19.18,32.33,48.47,67.11,87.69,109.68,132.6,156.02
6,1977,3.29,9.44,19.18,32.33,48.47,67.11,87.69,109.68,132.6,156.02
6,1978,3.29,9.44,19.18,32.33,48.47,67.11,87.69,109.68,132.6,156.02
6,1979,3.29,9.44,19.18,32.33,48.47,67.11,87.69,109.68,132.6,156.02
6,1980,3.29,9.44,19.18,32.33,48.47,67.11,87.69,109.68,132.6,156.02
6,1981,3.29,9.44,19.18,32.33,48.47,67.11,87.69,109.68,132.6,156.02
6,1982,3.29,9.44,19.18,32.33,48.47,67.11,87.69,109.68,132.6,156.02
6,1983,3.29,9.44,19.18,32.33,48.47,67.11,87.69,109.68,132.6,156.02
6,1984,3.29,9.44,19.18,32.33,48.47,67.11,87.69,109.68,132.6,156.02
6,1985,3.29,9.44,19.18,32.33,48.47,67.11,87.69,109.68,132.6,156.02
6,1986,3.29,9.44,19.18,32.33,48.47,67.11,87.69,109.68,132.6,156.02
6,1987,3.29,9.44,19.18,32.33,48.47,67.11,87.69,109.68,132.6,156.02
6,1988,3.29,9.44,19.18,32.33,48.47,67.11,87.69,109.68,132.6,156.02
6,1989,3.29,9.44,19.18,32.33,48.47,67.11,87.69,109.68,132.6,156.02
6,1990,3.29,9.44,19.18,32.33,48.47,67.11,87.69,109.68,132.6,156.02
6,1991,3.29,9.44,19.18,32.33,48.47,67.11,87.69,109.68,132.6,156.02
6,1992,3.29,9.44,19.18,32.33,48.47,67.11,87.69,109.68,132.6,156.02
6,1993,3.29,9.44,19.18,32.33,48.47,67.11,87.69,109.68,132.6,156.02
6,1994,3.29,9.44,19.18,32.33,48.47,67.11,87.69,109.68,132.6,156.02
6,1995,3.29,9.44,19.18,32.33,48.47,67.11,87.69,109.68,132.6,156.02
6,1996,3.29,9.44,19.18,32.33,48.47,67.11,87.69,109.68,132.6,156.02
6,1997,3.29,9.44,19.18,32.33,48.47,67.11,87.69,109.68,132.6,156.02
6,1998,3.29,9.44,19.18,32.33,48.47,67.11,87.69,109.68,132.6,156.02
6,1999,3.29,9.44,19.18,32.33,48.47,67.11,87.69,109.68,132.6,156.02
6,2000,3.29,9.44,19.18,32.33,48.47,67.11,87.69,109.68,132.6,156.02
6,2001,3.29,9.44,19.18,32.33,48.47,67.11,87.69,109.68,132.6,156.02
6,2002,3.29,9.44,19.18,32.33,48.47,67.11,87.69,109.68,132.6,156.02
6,2003,3.29,9.44,19.18,32.33,48.47,67.11,87.69,109.68,132.6,156.02
6,2004,3.29,9.44,19.18,32.33,48.47,67.11,87.69,109.68,132.6,156.02
6,2005,3.29,9.44,19.18,32.33,48.47,67.11,87.69,109.68,132.6,156.02
6,2006,3.29,9.44,19.18,32.33,48.47,67.11,87.69,109.68,132.6,156.02
7,2007,3.29,9.44,19.18,32.33,48.47,67.11,87.69,109.68,132.6,156.02
7,2008,3.29,9.44,19.18,32.33,48.47,67.11,87.69,109.68,132.6,156.02
7,2009,3.29,9.44,19.18,32.33,48.47,67.11,87.69,109.68,132.6,156.02
7,2010,3.29,9.44,19.18,32.33,48.47,67.11,87.69,109.68,132.6,156.02
7,2011,3.29,9.44,19.18,32.33,48.47,67.11,87.69,109.68,132.6,156.02
7,2012,3.29,9.44,19.18,32.33,48.47,67.11,87.69,109.68,132.6,156.02
7,2013,3.29,9.44,19.18,32.33,48.47,67.11,87.69,109.68,132.6,156.02
7,2014,3.29,9.44,19.18,32.33,48.47,67.11,87.69,109.68,132.6,156.02
10,2001,3.29,9.44,19.18,32.33,48.47,67.11,87.69,109.68,132.6,156.02
10,2002,3.29,9.44,19.18,32.33,48.47,67.11,87.69,109.68,132.6,156.02
10,2003,3.29,9.44,19.18,32.33,48.47,67.11,87.69,109.68,132.6,156.02
10,2004,3.29,9.44,19.18,32.33,48.47,67.11,87.69,109.68,132.6,156.02
10,2005,3.29,9.44,19.18,32.33,48.47,67.11,87.69,109.68,132.6,156.02
10,2012,3.29,9.44,19.18,32.33,48.47,67.11,87.69,109.68,132.6,156.02
10,2013,3.29,9.44,19.18,32.33,48.47,67.11,87.69,109.68,132.6,156.02
10,2014,3.29,9.44,19.18,32.33,48.47,67.11,87.69,109.68,132.6,156.02
10,2015,3.29,9.44,19.18,32.33,48.47,67.11,87.69,109.68,132.6,156.02
