Age ,CAN_Combined_RR,CAN_GSL_Acoustic,US_RR<145,US_RR_66_114,US_RR_115_144,US_RR_145_177,US_RR>195,US_RR>195_COMB,US_RR>177,JLL_AREA_2_(WEST),JLL_AREA_3_(31+32),JLL_AREAS_17+18,LARVAL_ZERO_INFLATED,GOM_PLL_1-6,JLL_GOM,TAGGING,JLL_RECENT,MOR_SP_TP,MOR_POR_TP,JPN_LL_EastMed,JPN_LL1_NEA,JPN_LL2_NEA,SP_BB1,SP_BB2,FR_AER1,FR_AER2,WMED_LARV
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,1,2,3,4,5,6,7,8,9,10
1,0,0,0.105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0.372,0.186,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0,1.000,0,1.000,1.000,0
3,0,0,1,0.76,0,0,0,0,0,0.046,0,0,0,0,0,0,0,0,0,0,0,0,0.337,1.000,1.000,1.000,0.055
4,0,0,0.279,1,0.424,0,0,0,0,0.147,0,0,0,0,0,0,0,0,0,0,0.053,0.000,0,0.639,1.000,1.000,0.179
5,0,0,0.173,0,1,0,0,0,0,0.484,0,0,0,0,0,0,0.1,0,0,0,0.147,0.000,0,0.263,0,0,0.515
6,0,0,0,0,0.096,0,0,0,0,0.834,0,0,0,0,0,0,0.187,0.258,0,0.280,0.370,0.016,0,0.128,0,0,0.671
7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.213,0.412,0,0.465,0.555,0.289,0,0,0,0,0.774
8,0,0.232,0,0,0,0,0,0,0,0.992,0,0,0.025,0.103,0.032,0,0.359,0.682,0,0.722,0.761,0.744,0,0,0,0,0.850
9,0,0.411,0,0,0,0,0.282,0,0,0.777,0,0,0.056,0.129,0.086,0,0.438,0.951,0,1.000,1.000,1.000,0,0,0,0,1.000
10,0,0.509,0,0,0,0,0.385,0,0,0.435,0,0,0.118,0.426,0.132,0,0.612,1,1,0.687,0.332,0.301,0,0,0,0,0.255
11,0,0.557,0,0,0,0,0.531,0,0,0.37,0,0,0.213,0.272,0.291,0,0.776,1,1,0.687,0.332,0.301,0,0,0,0,0.255
12,0,0.589,0,0,0,0,0.645,0,0,0.27,0,0,0.383,0.446,0.572,0,0.731,1,1,0.687,0.332,0.301,0,0,0,0,0.255
13,0,0.616,0,0,0,0,0.684,0,0,0.267,0,0,0.808,1,0.949,0,0.607,1,1,0.687,0.332,0.301,0,0,0,0,0.255
14,0,0.652,0,0,0,0,0.956,0,0,0.228,0,0,1,0.812,0.971,0,0.455,1,1,0.687,0.332,0.301,0,0,0,0,0.255
15,0,0.69,0,0,0,0,1,0,0,0.22,0,0,0.955,0.512,1,0,0.413,1,1,0.687,0.332,0.301,0,0,0,0,0.255
16,0,1,0,0,0,0,0.712,0,0,0.257,0,0,0.71,0.314,0.75,0,0.357,1,1,0.687,0.332,0.301,0,0,0,0,0.255
17,0,1,0,0,0,0,0.712,0,0,0.257,0,0,0.71,0.314,0.75,0,0.357,1,1,0.687,0.332,0.301,0,0,0,0,0.255
18,0,1,0,0,0,0,0.712,0,0,0.257,0,0,0.71,0.314,0.75,0,0.357,1,1,0.687,0.332,0.301,0,0,0,0,0.255
19,0,1,0,0,0,0,0.712,0,0,0.257,0,0,0.71,0.314,0.75,0,0.357,1,1,0.687,0.332,0.301,0,0,0,0,0.255
20,0,1,0,0,0,0,0.712,0,0,0.257,0,0,0.71,0.314,0.75,0,0.357,1,1,0.687,0.332,0.301,0,0,0,0,0.255
21,0,1,0,0,0,0,0.712,0,0,0.257,0,0,0.71,0.314,0.75,0,0.357,1,1,0.687,0.332,0.301,0,0,0,0,0.255
22,0,1,0,0,0,0,0.712,0,0,0.257,0,0,0.71,0.314,0.75,0,0.357,1,1,0.687,0.332,0.301,0,0,0,0,0.255
23,0,1,0,0,0,0,0.712,0,0,0.257,0,0,0.71,0.314,0.75,0,0.357,1,1,0.687,0.332,0.301,0,0,0,0,0.255
24,0,1,0,0,0,0,0.712,0,0,0.257,0,0,0.71,0.314,0.75,0,0.357,1,1,0.687,0.332,0.301,0,0,0,0,0.255
25,0,1,0,0,0,0,0.712,0,0,0.257,0,0,0.71,0.314,0.75,0,0.357,1,1,0.687,0.332,0.301,0,0,0,0,0.255
26,0,1,0,0,0,0,0.712,0,0,0.257,0,0,0.71,0.314,0.75,0,0.357,1,1,0.687,0.332,0.301,0,0,0,0,0.255
27,0,1,0,0,0,0,0.712,0,0,0.257,0,0,0.71,0.314,0.75,0,0.357,1,1,0.687,0.332,0.301,0,0,0,0,0.255
28,0,1,0,0,0,0,0.712,0,0,0.257,0,0,0.71,0.314,0.75,0,0.357,1,1,0.687,0.332,0.301,0,0,0,0,0.255
29,0,1,0,0,0,0,0.712,0,0,0.257,0,0,0.71,0.314,0.75,0,0.357,1,1,0.687,0.332,0.301,0,0,0,0,0.255
