,CAN_Combined_RR,CAN_GSL_Acoustic,US_RR<145,US_RR_66_114,US_RR_115_144,US_RR_145_177,US_RR>195,US_RR>195_COMB,US_RR>177,JLL_AREA_2_(WEST),JLL_AREA_3_(31+32),JLL_AREAS_17+18,LARVAL_ZERO_INFLATED,GOM_PLL_1-6,JLL_GOM,TAGGING,JLL_RECENT
year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1974,,,,,,,,,,,,,,,0.97,,
1975,,,,,,,,,,,,,,,0.53,,
1976,,,,,,,,,,0.39,,,,,0.67,,
1977,,,,,,,,,,0.89,,,2.42,,0.91,,
1978,,,,,,,,,,0.73,,,4.63,,0.88,,
1979,,,,,,,,,,0.82,,,,,1.29,,
1980,,,0.8,,,,,,,1.4,,,,,1.16,,
1981,,,0.4,,,,,,,1.11,,,1.15,,0.55,,
1982,,,2.1,,,,,,,0.78,,,1.36,,,,
1983,,,1.11,,,,2.81,,,0.46,,,0.9,,,,
1984,,,,,,,1.25,,,0.67,,,0.31,,,,
1985,,,0.63,,,,0.86,,,0.83,,,,,,,
1986,,,0.78,,,,0.5,,,0.01,,,0.34,,,,
1987,,,1.22,,,,0.53,,,0.37,,,0.31,,,,
1988,,,0.99,,,,0.94,,,0.35,,,1.13,,,,
1989,,,0.99,,,,0.76,,,0.69,,,0.7,,,,
1990,,,0.9,,,,0.63,,,0.48,,,0.34,,,,
1991,,,1.26,,,,0.82,,,0.6,,,0.31,,,,
1992,,,0.82,,,,0.91,,,1.09,,,0.43,1.14,,,
1993,,,,1.16,1.1,,,,,0.98,,,0.47,0.64,,,
1994,,0.026,,0.27,0.28,,,,,0.9,,,0.53,0.47,,,
1995,,0.034,,1.15,0.61,,,,,0.59,,,0.23,0.44,,,
1996,,0.067,,1.71,0.73,,,,,2.24,,,0.78,0.26,,,
1997,,0.038,,2.47,0.21,,,,,1.64,,,0.34,0.46,,,
1998,,0.042,,1.44,0.77,,,,,0.76,,,0.11,0.5,,,
1999,,0.035,,1.39,0.85,,,,,1.14,,,0.46,0.85,,,
2000,,0.019,,0.99,1.33,,,,,1.13,,,0.24,1.24,,,
2001,,0.037,,0.48,1.59,,,,,0.92,,,0.44,0.71,,,
2002,,0.02,,1.54,2.55,,,,,0.78,,,0.24,0.66,,,
2003,,0.036,,0.42,0.63,,,,,1.23,,,0.77,1.19,,,
2004,,0.038,,2.31,0.61,,,,,1.11,,,0.5,1.08,,,
2005,,0.051,,2.26,0.57,,,,,0.99,,,0.18,0.82,,,
2006,,0.062,,0.61,1.45,,,,,1.53,,,0.5,0.58,,,
2007,,0.042,,0.46,1.65,,,,,0.99,,,0.46,0.78,,,
2008,,0.034,,0.36,1.14,,,,,1.36,,,0.32,1.78,,,
2009,,0.057,,0.36,0.5,,,,,2.34,,,0.59,1.46,,,
2010,,0.065,,0.63,1.2,,,,,,,,0.34,1.22,,,0.6
2011,,0.05,,0.82,1.06,,,,,,,,1.04,1.09,,,2.04
2012,,0.101,,0.41,1.12,,,,,,,,0.28,3.39,,,2.54
2013,,0.056,,0.57,1.77,,,,,,,,0.99,1.23,,,1.91
2014,,0.076,,0.7,0.94,,,,,,,,0.26,1.02,,,2.38
2015,,0.075,,0.45,0.35,,,,,,,,0.39,1.02,,,1.46
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
